userid,login,pswrd,calendars,events,lstvs
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,4,"{""_name"": ""Сдать кровь"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""61"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,4,"{""_name"": ""Сдать сперму"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""61"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,1,"{""_name"": ""Отвезти"", ""_descript"": ""Не думать"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""160"", ""_users"": [""Stepanovna""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,1,"{""_name"": ""Отъехать"", ""_descript"": ""Не париться"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""160"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,1,"{""_name"": ""Привезти"", ""_descript"": ""Не спрашивать"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""160"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,2,"{""_name"": ""Выпить борща с бараниной"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,2,"{""_name"": ""Выпить латте на миндальном молоке"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,2,"{""_name"": ""Выпить смузи"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,3,"{""_name"": ""Пробежать марафон"", ""_descript"": ""Обновить плейлист"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,3,"{""_name"": ""Прогрести 40 на 5 по 8"", ""_descript"": ""Не забыть VR очки для дополнительной мотивации!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,3,"{""_name"": ""Проехать 100км"", ""_descript"": ""Посмотреть новые серии Слово пацана"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,4,"{""_name"": ""Поменять маску"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""112"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,4,"{""_name"": ""Принять витамины"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@2,Mihalych,8066fa963fae26ae6f9388066cce398e,4,"{""_name"": ""Принять карнитины"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,1,"{""_name"": ""Полайкать фотки"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,1,"{""_name"": ""Попить чаю"", ""_descript"": ""Не забыть про эклеры в холодильнике!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,1,"{""_name"": ""Совещание"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""Vasilich"", ""Mihalych""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,2,"{""_name"": ""Маникюр"", ""_descript"": ""Шилак под хохлому"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,2,"{""_name"": ""Пошопиться"", ""_descript"": ""Victorias Secret, Zara, Tezenis"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,2,"{""_name"": ""Сделать брови"", ""_descript"": ""Прорядить и взлохматить монобровь"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,3,"{""_name"": ""Накачть орех"", ""_descript"": ""5 выпадов с гантелями из раздевалки"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,3,"{""_name"": ""Натянуть шпагат"", ""_descript"": ""Натереться Финалгоном и тянуться до поросячего визга"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,3,"{""_name"": ""Скинуть жир"", ""_descript"": ""Не жрать перед тренировкой! Не жрать на тренировке! Терпеть после тренировки!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,4,"{""_name"": ""Провериться на инфекции"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,4,"{""_name"": ""Ревакцинировать трисичуху"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""71"", ""_users"": [""""]}",2024-05-10T16:02:40
@3,Stepanovna,4afe56994da49830ccb33f2cab778901,4,"{""_name"": ""Сделать тест на беременность"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,1,"{""_name"": ""Выслушать критику"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,1,"{""_name"": ""Обзвонить клиентов"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,1,"{""_name"": ""Писать отчёты"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,2,"{""_name"": ""Встать пораньше"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,2,"{""_name"": ""Посмотреть телек"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,2,"{""_name"": ""Прочистить стояк"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,3,"{""_name"": ""Страховать жим Петровича"", ""_descript"": ""Кричать:Давай Пертрович, ты лучший!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,3,"{""_name"": ""Страховать присед Петровича"", ""_descript"": ""Кричать:Терпи Пертрович, в зале нет вентиляции!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,3,"{""_name"": ""Страховать тягу Петровича"", ""_descript"": ""Кричать:Тяни Пертрович, подсекай!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,4,"{""_name"": ""Выпить спирта"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,4,"{""_name"": ""Выпить эспумизан"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@4,Sergeych,219f839e517484b7f0da1110709afa2f,4,"{""_name"": ""Привиться от ГРИПа"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""71"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,1,"{""_name"": ""Ехать на стрелку"", ""_descript"": ""Держать себя в руках, не обгадиться!"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""Sergeych""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,1,"{""_name"": ""Кошмарить должников"", ""_descript"": ""Пугать похищением собаки"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""Sergeych""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,1,"{""_name"": ""Разглядывать тачки"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,2,"{""_name"": ""Поменять диски"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""71"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,2,"{""_name"": ""Поменять колёса"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""61"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,2,"{""_name"": ""Поменять тачку"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""72"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,3,"{""_name"": ""Пожать 100ку на раз"", ""_descript"": ""Не умереть от гипертонуса самомнения"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,3,"{""_name"": ""Потянуть 100ку на раз"", ""_descript"": ""Не потерять в трусах важные детали от позвоночника"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,3,"{""_name"": ""Присесть 100ку на раз"", ""_descript"": ""Выбрать качественные сутавы для замены коленей"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-05-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,4,"{""_name"": ""Купить Contex"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""41"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,4,"{""_name"": ""Ревакцинировать бешенство"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""73"", ""_users"": [""""]}",2024-05-10T16:02:40
@5,Petrovich,6964c2d89e067ff77c897948c45f7eca,4,"{""_name"": ""Ревакцинировать эболу"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""73"", ""_users"": [""""]}",2024-05-10T16:02:40
